english,中文
fulmination,轟鳴
fulsome,funsome
gainsay,否定
garble,斷章取義
garment,服裝
garner,加納
garrulity,garrulity
garrulous,貧嘴
gaucherie,Gaucherie
germane,德國人
gist,要旨
glean,收集
glib,glib
glimmer,微光
gloat,幸災樂禍
glut,脾氣暴躁
gnaw,啃
goad,goad
gorge,峽谷
gossamer,游絲
gouge,挖出
grandiloquent,宏偉的
grave,墓穴
graze,輕擦
gregarious,群居
grievous,痛苦
grovel,拜倒
guile,詭計
gullible,容易受騙
gush,噴
gust,陣風
hack,黑客
halcyon,Halcyon
hallow,萬聖節
harangue,長篇大論
harbinger,預兆
harrow,耙
haughty,傲慢
heed,注意
heinous,令人髮指的
heresy,異端
hermetic,密閉
heterogeneous,異質
hew,槎
highbrow,大眉
hirsute,伯斯特
hoax,騙局
hoi,hoi
hollow,空洞的
holster,皮套
homiletics,同類
hone,磨
hoodwink,蒙蔽
hospitable,好客
hubris,傲慢
hush,安靜
husk,果殼
hypocrisy,偽善
iconoclast,圖標
idiosyncrasy,特質
idolatry,偶像崇拜
idyll,牧歌
ignoble,無知
ignominious,可恥
illicit,非法
imbroglio,糾葛
immaculate,完美無缺
imminent,迫在眉睫
immutable,不變
impair,妨害
impassive,冷漠
impecunious,無禮
impede,阻礙
impediment,障礙
impending,即將到來的
imperative,至關重要的
imperious,專橫
impermeable,不可滲透
imperturbable,不受干擾
impervious,不透水
imperviousness,不透水
impetuous,浮躁
impiety,愚蠢
implacable,不於
implicate,暗示
implicit,隱式
implosion,內爆
importune,excientune
imprecation,詛咒
impromptu,即興
impudent,厚顏無恥
impugned,受傷了
impute,算
inadvertent,無意
inane,inane
inasmuch,不知所措
incense,香
incessant,不停
inchoate,初始
incipient,初期
incise,切斯
incite,煽動
inclined,傾斜
incongruous,不協調
incorrigibility,不幸
incredulous,令人難以置信
inculcate,灌輸
incumbents,現任者
incursion,侵入
indefatigability,不足
indelible,不可磨滅
indigence,貧困
indigenous,土著
indistinct,模糊
indolence,懶惰
indomitable,不屈不撓
indulge,放縱
indulgent,放縱
ineffable,無法言喻
ineluctable,不可避免
inept,無能
ineptitude,無能
inferno,地獄
infuriate,激怒
infuse,注入
ingenuous,巧妙
ingest,攝取
inimical,不利
inimitable,無比
innocuous,無害
inscrutable,難以理解
insensible,不知所措
insinuate,暗示
insipid,平淡
insouciant,漫不經心
insularity,獨立性
insurrection,起義
interdict,禁令
interim,臨時
intersperse,散佈
intransigence,頑固
intransigent,固定的
intrepid,強悍
introspection,內省
inundate,淹沒
inured,被進來的
invective,煽動性
inveigh,Inveigh
inveterate,根深蒂固
invincible,無敵
involute,偏遠
irascible,暴躁
irate,憤怒
ire,憤怒
irksome,煩惱
irresolute,徊
irrevocable,不可撤銷
itinerate,伊特
jabber,賈伯
jibe,吉布
jocular,詼諧
judicious,明智
knit,針織
labyrinthine,迷宮
lachrymose,Lachrymose
lackluster,乏味
lament,哀嘆
lassitude,矮小
latent,潛
laudatory,讚美
lavish,豪華
legacy,遺產
levee,堤防
levity,利益
libel,誹謗
liberality,自由
libertine,自由主義者
lien,留置權
limn,林
limp,跛行
lionize,獅子
lithe,輕盈
loll,懶惰
lope,lope
loquacious,貧嘴
lucubrate,Lucubrate
luculent,勞力
lugubrious,Lugubious
lull,麻痺
lumber,木材
luminary,發光
lurk,潛伏
lustrous,有光澤
macabre,可怕
macerate,念珠
machination,詭計
maladroit,疾病
malapropism,不良主義
malevolence,惡意
malign,誹謗
malinger,馬林格
malleable,可延展
manacle,束縛
massacre,屠殺
matriculation,入學
maudlin,感傷
maul,打傷
maverick,小牛
mellifluous,木質
mendacity,謊言
mendicant,mendicant
mercurial,墨西哥
meretricious,精靈
mesmerize,催眠
meticulous,細緻
mettle,氣概
mettlesome,Mettlesome
middling,中間
minatory,最小的
mince,剁碎
misanthrope,瞬息萬變
mischievous,惡作劇
miser,吝嗇鬼
misogynist,厭惡女性主義者
moderation,適度
mollify,緩和
molt,蛻皮
morbid,病態
morose,慢跑
muffler,圍巾
multifarious,五花八門
mundane,平凡
myriad,無數
nadir,納迪爾
nascent,新生
nebulous,模糊
negligent,疏忽大意
neophyte,新手
nexus,關係
nibble,蠶食
noisome,嘈雜
nonchalant,冷淡
nonplused,未灌注
nostrum,鼻孔
noxious,有害
nugatory,欺騙
obdurate,胡說八道
obfuscate,混淆
oblivious,忘了
obloquy,漫罵
obsequious,低三下四
obstreperous,精神病
obtain,獲得
obtrusive,令人震驚
obtuse,鈍
obviate,消除
occluded,塞滿了
odious,可惡
odium,歐洲
odor,氣味
officious,犯罪
ominous,不祥的
onerous,繁重的
opaqueness,不透明
opprobrious,可恥
ossify,骨化
ostensible,表面
ostentation,吹牛
ostracism,排斥
overhaul,大修
overweening,過度
paean,佩恩
palate,口感
palatial,pale
palliate,palliate
palpability,明了
palpitate,悸
panegyric,頌
paradigm,範例
parenthesis,插入語
pariah,帕里亞
parsimonious,簡約
partisan,黨派
patron,贊助人
paucity,昏迷
peccadillo,Peccadillo
pedantic,pedantic
pedestrian,行人
pellucid,顆粒
penchant,偏愛
penitent,it悔
penurious,陰莖
penury,陰莖
peregrination,率分量
peremptory,蠻橫
perfidious,背信棄義
perfidy,偷偷摸摸
perfunctory,敷衍
perilous,危險
peripatetic,週期性
perish,淪
perjury,偽證
permeate,滲透
pernicious,有害
perpetrate,犯
personable,風度翩翩
perspicacity,明智
pertain,屬於
pest,害蟲
petrified,石化
petrify,石化
petrous,石油
petulant,脾氣
philistine,庸俗
phlegmatic,痰
picaresque,picaresque
pied,pied
pinch,捏
pine,松樹
pious,虔誠
piquant,靈巧
pique,皮克
pitfall,陷阱
pith,髓
pivotal,關鍵
placate,安撫
plaintive,哀怨
plaque,牌匾
platitude,陳詞濫調
plea,懇求
plead,懇求
plethora,過多
pliant,pl
plod,plod
pluck,採摘
plumb,垂直
plummet,下降
plunge,暴跌
poignant,淒美
poncho,雨披
ponderous,繁瑣
portent,預兆
precarious,不穩定
precepts,戒律
preclude,排除
precursory,前體
predilection,偏見
predominate,占主導
preen,普雷恩
premature,早產
preponderance,優勢
presage,預示
presumption,假定
preternatural,預製
prevalent,流行
prevaricate,預期
prim,Prim
pristine,原始
probity,廉潔
proclivity,傾向
procrastination,拖延
prodigal,浪子
prodigious,驚人
profane,褻瀆
profligacy,揮霍
profligate,揮霍
profundity,豐富性
profuse,大量
proliferate,增生
prolix,冗長
prone,易於
propagation,傳播
propinquity,接近
propitiatory,態度
propitious,吉祥
prosaic,平淡無奇
proscribe,禁止
protracted,長期
provident,公益人
provisional,臨時
provoke,惹
prudence,審慎
prudish,拘謹
prune,修剪
pry,撬
pucker,帕克
pugnacious,謙虛
puissance,puiss
punctilious,鼻子
pundit,專家
pungency,刺
purvey,purvey
pusillanimous,pusillanimous
putrefaction,腐敗
pyre,Pyre
quack,嘎嘎
quaff,Quaff
quail,鵪鶉
qualm,疑慮
quandary,困惑
quell,蕩平
quibble,狡辯
quiescence,靜止
quiescent,靜止
quirk,怪癖
quixotic,quixotic
quotidian,quotidian
rabble,兔子
raconteur,RACONTEUR
raffish,拉絲
ramify,分支
rancorous,仇恨
rant,咆哮
rapacious,貪婪
rarefy,稀有
rave,狂歡
reactionary,反動
rebuff,回絕
recalcitrant,頑固
recant,撤離
recast,重鑄
recidivism,累犯
reciprocity,互惠
recitals,獨奏
recluse,隱士
recompense,補償
reconcile,調和
recondite,recondite
recreancy,怯懦
recuperate,療養
redeem,贖回
redoubtable,可疑
refine,精煉
refractory,耐火
refulgent,啟發
regale,款待
regicide,療法
reiterate,重申
rejuvenation,恢復活力
relapse,復發
remonstrate,示意
render,使成為
renovate,翻新
renowned,著名
repast,餐飲
repel,擊退
repine,抱怨
reproach,責備
reprobate,遺囑
repudiate,否認
repulsive,醜惡
requite,報答
rescind,廢除
resigned,辭職
resilience,彈力
resort,採取
restive,靜止
resuscitation,復甦
retard,減速
reticent,沉默寡言
revere,尊敬
reverent,崇敬
riddle,謎語
rift,裂痕
rivet,鉚釘
roll,卷
rotund,圓形
ruffian,痞子
rumple,隆隆
sagacious,明智
salacious,卑鄙
salubrious,熟練
salutary,有益的
sanctimony,庇護
sanction,制裁
sanguine,樂觀
sanity,理智
sash,窗扇
satiate,滿足
saturnine,土星
savant,Savant
savor,品嚐
sawdust,鋸末
scabbard,刀鞘
scent,香味
scorch,燒焦
scribble,塗
scurvy,壞血病
secular,世俗
sedulous,虔誠
seminal,開創性
sententious,頑皮
sequence,序列
sere,Sere
sermon,講道
serrated,鋸齒狀
serration,鋸齒
servile,奴役
sever,斷絕
severance,遣散
shallow,淺的
shard,碎片
sheath,鞘
shrewd,精明
shrill,尖銳
shun,回
shunt,分流
sidestep,迴避
simper,Simper
sinuous,彎曲
skiff,溜冰者
skit,短劇
slack,鬆弛
slake,熄滅
slate,石板
sluggard,懶漢
slur,sl
smolder,悶悶不樂
snare,圈套
snub,冷落
soar,飆升
sober,清醒
sobriety,清醒
sodden,爛
soggy,潮濕
solvent,溶劑
somatic,軀體
soot,煤煙
sophisticated,複雜的
sophistry,詭辯
sophomoric,幽默
soporific,Soporific
sordid,骯髒
spear,矛
specious,好像
splenetic,脾臟
splice,拼接
sponge,海綿
spurious,虛假
spurn,拒絕
squalid,骯髒
squander,揮霍
squat,蹲
stanch,斯坦奇
steeply,陡峭
stentorian,Stentorian
stickler,棒子
stigma,柱頭
stigmatize,污名化
sting,刺
stingy,小氣
stint,限制
stipple,點畫
stipulate,規定
stolid,臭
stray,流浪
streak,條紋
striated,條紋
stride,大步
strut,支撐
stygian,Stygian
stymie,斯蒂姆
subdue,征服
sublime,昇華
submerge,淹沒
suborn,子
subpoena,傳票
substantiation,證明
subsume,子
succor,救助
suffice,足夠了
suffocate,窒息
sullied,沉悶
summarily,摘要
sumptuous,豪華
sundry,雜物
supercilious,極端
superfluous,多餘
superimpose,疊加
supersede,取代
supine,仰臥
suppliant,供應商
supplicate,哀告
suppress,壓制
surcharge,附加費
surfeit,過量
susceptibility,敏感性
swerve,轉彎
sycophant,si夫
synopsis,概要
taciturn,沉默寡言
tadpole,蝌蚪
talon,爪
tamp,夯
tamper,篡改
tangential,切線
tarnished,污損
tassel,流蘇
taunt,嘲諷
taut,拉緊
tautology,重言
tawdry,tawdry
teetotal,teetotal
temerity,temerity
temperance,節制
temperate,溫帶
tenacity,韌性
tenuous,脆弱
tepid,溫和
terse,簡潔
testiness,易怒
thrift,節約
thwart,阻撓
timid,膽小
timorous,稍加言
toady,拍馬屁
tonic,補品
topple,傾覆
torment,折磨
torpid,Torpid
torque,扭矩
tortuous,曲折
tout,吹捧
tractable,可處理
transgress,違法
transient,短暫的
transitory,暫時
travesty,悲慘
trenchant,風質
trepidation,恐懼
trickle,trick流
trifling,小瑣事
trite,陳詞濫調
truce,休戰
truculence,進展
trudge,跋涉
turbid,混濁
turbulence,湍流
turgid,turgid
turmoil,動盪
turpitude,沮喪
turquoise,綠松石
tyro,初學者
ubiquitous,無處不在
ulterior,別有用心
umbrage,蒙布拉奇
uncouth,粗野
underbid,不足
undermine,破壞
undulate,波動
unearth,挖掘
unencumbered,無限制
unfeigned,慥
unscathed,毫髮無損
untoward,不利
upbraid,吒
urbane,彬彬有禮
vacillation,搖擺不定
vagary,屬性
vain,徒勞
valiant,英勇
valorous,勇氣
vanquish,征服
veer,veer
venal,Venal
veneer,單板
veneration,崇拜
veracity,真實性
verdant,蔥蘢
verisimilitude,真實性
veritable,名副其實
verve,氣魄
vestige,痕跡
vex,煩惱
vigilance,警覺
vigilant,警惕的
vigorous,蓬勃
vilify,醜化
vindictive,鬥氣
virago,潑婦
visceral,內臟
viscous,粘性
vitiate,腐爛
vituperate,謾罵
vivacious,活潑
volatile,易揮發的
volubility,能力
voluble,揮發性
waffle,胡扯
waft,waft
wag,搖擺
warmonger,溫暖的人
warrant,保證
wean,斷奶
weigh,稱重
welter,韋爾特
wend,溫德
whimsical,異想天開
wince,Wince
woo,哇
writ,令狀
yarn,紗
